Players,Nationality,Type,Price Paid,Team,Player_bat,Mat_bat,Inns_bat,NO,Runs_bat,HS,Avg_bat,BF,SR_bat,100,50,4s,POS,Player_bowl,Mat_bowl,Inns_bowl,Ov,Runs_bowl,Wkts,Avg_bowl,Econ,SR_bowl
Vaibhav Arora,Indian,Bowler,20000000,PK,Vaibhav Arora,5,4,2,5,2*,2.5,13,38.46,0,0,0,78.0,Vaibhav Arora,5.0,5.0,17.5,164.0,3.0,54.66,9.19,35.66
Trent Boult,Overseas,Bowler,80000000,RR,Trent Boult,16,8,6,40,17*,20,29,137.93,0,0,2,15.0,Trent Boult,16.0,16.0,62.0,492.0,16.0,30.75,7.93,23.25
Prasidh Krishna,Indian,Bowler,100000000,RR,Prasidh Krishna,17,3,2,6,4*,6,12,50.0,0,0,0,10.0,Prasidh Krishna,17.0,17.0,66.3,551.0,19.0,29.0,8.28,21.0
Yuzvendra Chahal,Indian,Bowler,65000000,RR,Yuzvendra Chahal,17,2,1,5,5,5,8,62.5,0,0,0,1.0,Yuzvendra Chahal,17.0,17.0,68.0,527.0,27.0,19.51,7.75,15.11
Riyan Parag,Indian,All-Rounder,38000000,RR,Riyan Parag,17,14,3,183,56*,16.64,132,138.63,0,1,11,102.0,Riyan Parag,17.0,4.0,4.0,59.0,1.0,59.0,14.75,24.0
Navdeep Saini,Indian,Bowler,26000000,RR,Navdeep Saini,2,1,0,2,2,2,2,100.0,0,0,0,80.0,Navdeep Saini,2.0,2.0,6.0,72.0,3.0,24.0,12.0,12.0
Wanindu Hasaranga,Overseas,All-Rounder,107500000,RCB,Wanindu Hasaranga,16,7,0,38,18,5.43,43,88.37,0,0,4,2.0,Wanindu Hasaranga,16.0,16.0,57.0,430.0,26.0,16.53,7.54,13.15
Harshal Patel,Indian,All-Rounder,107500000,RCB,Harshal Patel,15,8,3,43,11,8.6,39,110.25,0,0,4,9.0,Harshal Patel,15.0,15.0,53.3,410.0,19.0,21.57,7.66,16.89
Josh Hazlewood,Overseas,Bowler,77500000,RCB,Josh Hazlewood,12,5,5,18,7*,-,26,69.23,0,0,1,7.0,Josh Hazlewood,12.0,12.0,46.3,377.0,20.0,18.85,8.1,13.95
David Willey,Overseas,All-Rounder,20000000,RCB,David Willey,4,2,0,18,18,9,30,60.0,0,0,3,91.0,David Willey,4.0,4.0,11.0,72.0,1.0,72.0,6.54,66.0
Washington Sundar,Indian,All-Rounder,87500000,SRH,Washington Sundar,9,7,0,101,40,14.43,69,146.37,0,0,9,54.0,Washington Sundar,9.0,8.0,28.0,239.0,6.0,39.83,8.53,28.0
Bhuvneshwar Kumar,Indian,Bowler,42000000,SRH,Bhuvneshwar Kumar,14,6,3,24,8,8,26,92.3,0,0,3,27.0,Bhuvneshwar Kumar,14.0,14.0,52.1,383.0,12.0,31.91,7.34,26.08
Kartik Tyagi,Indian,Bowler,40000000,SRH,Kartik Tyagi,2,2,0,7,7,3.5,6,116.66,0,0,1,95.0,Kartik Tyagi,2.0,2.0,8.0,79.0,1.0,79.0,9.87,48.0
Shreyas Gopal,Indian,Bowler,7500000,SRH,Shreyas Gopal,1,1,1,9,9*,-,7,128.57,0,0,2,99.0,Shreyas Gopal,1.0,1.0,3.0,34.0,1.0,34.0,11.33,18.0
Jagadeesha Suchith,Indian,Bowler,2000000,SRH,Jagadeesha Suchith,5,2,0,2,2,1,8,25.0,0,0,0,45.0,Jagadeesha Suchith,5.0,5.0,18.0,140.0,7.0,20.0,7.77,15.42
Aiden Markram,Overseas,Batsman,26000000,SRH,Aiden Markram,14,12,4,381,68*,47.63,274,139.05,0,3,25,97.0,Aiden Markram,14.0,4.0,6.0,64.0,1.0,64.0,10.66,36.0
Marco Jansen,Overseas,All-Rounder,42000000,SRH,Marco Jansen,8,3,2,9,8*,9,7,128.57,0,0,0,46.0,Marco Jansen,8.0,8.0,32.0,274.0,7.0,39.14,8.56,27.42
Romario Shepherd,Overseas,All-Rounder,77500000,SRH,Romario Shepherd,3,3,1,58,26*,29,41,141.46,0,0,2,79.0,Romario Shepherd,3.0,3.0,9.0,98.0,3.0,32.66,10.88,18.0
Fazalhaq Farooqi,Overseas,Bowler,5000000,SRH,Fazalhaq Farooqi,3,1,1,2,2*,-,8,25.0,0,0,0,86.0,Fazalhaq Farooqi,3.0,3.0,12.0,110.0,2.0,55.0,9.16,36.0
Sean Abbott,Overseas,Bowler,24000000,SRH,Sean Abbott,1,1,0,7,7,7,5,140.0,0,0,0,101.0,Sean Abbott,1.0,1.0,4.0,47.0,1.0,47.0,11.75,24.0
